"id","label","language","script","scientist","scientist_year"
65000077,"IRCCITOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000078,"MAQI - LIAG MAQI ERCA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000079,"MUCOI MUCC[I","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000080,"QENILOCI MAQI MAQI - AINIA MUC[---","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000081,"DUGENNGG[I] MAQI RODDOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000082,"TOGITTACC MAQI SAGARETTOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000083,"[MAQ]QI MUCC[OI]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000085,"MAQQI-ERCCIAS MAQQI MUCOI DOVINIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000086,"CONUNETT MOQI CONURI.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000087,"CCILARI AV[I].....COI VAG....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000088,"ERC MAQI MAQI-ERCIAS MU DOVINIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000089,"......ETORIGAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000090,"S   B           N                   GL T  DM...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000091,"BRUSCCOS MAQQI CALIACI[AS] M[AQQI MUCOI...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000092,"TALAGNI MAQ....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000093,"GANICCA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000095,"MAQQI-DECEDDA MAQQI CATUVIQ[QA]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000096,"[CO?]BB[A?] AVI VLATIAMI MAQ...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000097,"EQODDI SCI FINTEN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000098,"ANM MAILE-INBIR MACI BROCANN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000099,"MARIANI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000100,"SAŊTI LLOTETI AVI SRUSA.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000101,"OVANOS AVI IVACATTOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000102,"GOSSUCTTIAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000103,"GAMICUNAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000104,"QENILOCGNI MAQI D...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000105,"ANM COLMAN AILITHIR","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000106,"SIDANI MAQI DALO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000107,"LLONNOCC MAQQ[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000108,"CURCI MAQI MUCOI V[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000109,"ERCAVICCAS MAQI CO[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000110,"DEGOS MAQI MOCOI TOICAKI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000111,"MAQI-RITEAS MAQI MAQI-DDUMILEAS MUCOI TOICACI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000112,"CUNACENA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000113,"QENUVEN...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000114,"MAQI-DDECCEDA MAQI MARIN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000115,"MAQI-TTAL MAQI VORGOS MAQI MUCOI TOICAC","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000116,"MC[ ]GE [ ]M [..] Q[ ] ..[ ]D [ ]E","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000117,"NIOTTVRECC MAQI [....]GNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000118,"MAQI-DECEDA MAQ̣[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000119,"ANM MAGANN MAQI NUADAT","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000120,"S[M]....BNAG MA[Q?]QI ERCIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000121,"ANM VIRR[...]ANNI TIGIRN CEDATTOQA MAQI VEDELMET[T]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000122,"....]ECC MAQI L[UGUQ]RRIT","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000123,"UMALL","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000124,"...]GGO MAQI AGILL[....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000125,".....]MAQQI COLLABOTA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000126,"DUBE[B?]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000127,"RITTUVVECC MAQI VEDDONOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000129,"URG","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000130,"ANNVENI TEGG[....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000131,"ALATTO CELI BATTIGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000132,"GOSOCTEAS MOSAC MAKINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000133,"NOCATI MAQI MAQI-REC [....] MAQI MUCOI UDDAMI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000134,"L[A]G[O]BB[... MUCO - TUCACAC","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000136,"ANM CRUNAN MAQ LUQIN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000137,"...EGNI KOI MAQI MUC[OI] A[L]I[NI]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000138,"ANM LLATIGNI MAQ M[I]N[E]RC M[UCOI] Q[...]CI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000139,"CATVVIRR MAQI LUGUVVEC","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000140,".....]NEGGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000141,"ANM VINNAGITLET...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000142,"MOŊUNILOCID MAQI ALOTTO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000143,"NOARRA MAQI VORUDRAN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000144,"ORIBRASSIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000145,"OTTINN MAQI VECR[EC]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000146,"MAQI BROCI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000147,"ANM CALUMANN MAQ[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000148,"AV*S*S*MAQV*S","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000149,"D[...]A[.C?.] AVI DALAGNI [MAQI C...?] EQQEGGNI MAQI MAQI-CARATTINN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000150,"LOGITTI MAQI ERPENN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000151,"....]ERRLONNA MAQI R[U]T[E]N[I]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000152,"TIDONN[A] MAQ DOMNGINN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000153,"MAQI R[.....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000154,"ANM MOLEGOMRID MACI VECUMEN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000155,"...]OTANI M[A]QI LOSAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000157,"......]QNETN[.....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000158,"ANM GATTEGLAN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000159,"UR","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000160,"MOCURRUTI MAQI VLISACESUCMIR","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000161,"B[AID]AGNI MAQI ADDILONA NAGUNI MUCO BAIDANI NIR***MN[I]DAGNIESSICONIDDALA AMIT BAIDAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000162,"BRRUANANN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000164,"MAQI-RITTE MAQI COLABOT MAQI MOCO QERAI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000165,"COILLABBOTAS MAQI CORBBI MAQI MOCOI QERAI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000166,"VŊGOLAM","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000167,"CORBAGNI MAQI BIVITI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000168,"...]V MAQI[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000169,"[LMCBDV]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000170,"COVTET","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000171,"...QET[IA?]S M[A?]Q TRENIL[U?...]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000172,"UN[...]CC","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000173,"LA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000174,"CATTUVVIRR MAQI RITUVVECAS MUCOI ALLATO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000175,"VELITAS LUGUTTI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000176,"DUMELI MAQI GLASICONAS NIOTTA COBRANOR[IGAS]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000177,"GALEOTOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000178,"MAQI RECTA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000179,"ANM VURUDDRANN MAQ[I] DOLIGENN CI[...]LA MAQ[Q?]I [..]BAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000180,"ANM TEGANN MAAC DEGLANN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000181,"BASIŊB ---","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000182,"D[A]Q[U]MA MAQI RAGAVVECC","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000183,"MAILAGNI MAQI GAMATI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000184,"IVAGENI MAQI LAISCEMITA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000185,"NETTAVRECC [KOI?] MAQI MUCCOI TRENALUGGO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000187,"NETACUNAS MAQI LOBAC[CONA]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000188,"ERCAGNI MAQI ERCIAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000189,"LUGUDECCAS MAQI [....MU]COI NETA-SEGAMONAS DOLATI BIGA-ISGOB[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000190,"....] NACI MAQI [...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000191,"AMADU","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000192,"COLLABOT MUCOI LUGA MAQI LOBACCONA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000193,"MEDUSI MACI LU MUCOI LUGA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000194,"CATTUVIR","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000195,"MAQI MUCOI IVODACCA.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000196,"CNAEMSECH CELLACH MINODOR MUAD MAELMAIRE MAELUADAIG MALMAIRE","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000197,"QRIT[....] MAQ[I LO]BACONA AVI NEAGRACOLINEA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000198,"NETAVROQI MAQI QIC[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000199,"MANU MAGUNO GATI MOCOI MACORBO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000200,"CALUNOVIC[A] MAQI MUCOI LIT[ENI].","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000201,"MAQI-INI[... MAQI QE]TTEAS.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000202,"CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000203,"BIGU MAQI LAG[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000204,"BIR MAQI MUCOI ROTTAIS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000205,"....]MAQI NE[TACUN]AS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000206,"DENAVEC[A MU]COI MEDALO.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000207,"TASEGAGNI [MAQ]I MUCOI MACORBO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000208,"BRO[INION]AS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000209,"DEAGOS MAQI MUCO[I......]NAI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000210,"AVI DAIMAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000211,"GOSOCTAS MUCOI MACORBO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000212,"MELAGIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000213,"BIVODON MUCOI ATAR","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000214,"[CU]NAMAQI LUGUDECA MUC[OI] CUNEA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000215,"NISIGNI MAQI ER[......]I","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000216,"DEBRANI MAQI ELTI AVI OGATOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000217,"...]VAGNI MUCOI CUNIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000218,"BRAN[I]TTAS M[A]QI DUCR[I]DDA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000219,"MAQI E[..","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000221,"....]ER[A]T[I] M[U]C[OI] NETA-S[EGAM]ONAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000222,"...]RG[...]BRCEN[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000223,"CORB","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000224,"Q[E]CC[IAS] M[U]C[OI B]R[O]E[NIONAS]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000225,"...]CIR MAQI MUC[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000226,"VORTIGURN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000227,"VEDABAR M[A]Q[.....]LSM MOCOI ORD[....]REA.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000228,"[MAQI?] MOŊEDIAS MAQI MUIBITI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000229,"CUNALEGI AVI QUNACANOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000230,"NAVALLO AVVI GENITTAC[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000231,"CUNNETAS MAQI GOC[OI] NETA-SEGAMONAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000232,"DOMOKI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000233,"CUMNI MAQI MUCOI VALUVI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000234,"CATABAR MOCO VIRICORB","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000235,"VOCAGNI MAQI CUR(I)T","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000237,"LUGUDI MAQI L..D...QA MOCOI DONM(A)","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000238,"MODDAGN[I] MAQI GATTAGN[I] MUCOI LUGUNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000240,"TORAESCEUSAS MAQI MUCOI MEUTINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000241,"DRUGNO MAQI MUCOI [....] NAMI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000242,"CAGINADI MAQI VOBARACI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000243,"DINEGLO MAQI QETAIS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000244,"OSBBAR","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000245,"OVOMAN(I?)","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000247,"NETTACU[NAS].","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000248,"BROCAGNI MAQI MU","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000249,"DOTETTO MAQI MAGLANI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000250,"MAQI-ERACIAS MAQI DIMAQA MUCO[I....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000252,"LOBBI KOI MAQQI MUCCOI RINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000253,"VIR...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000254,"SEVERRIT [MAQI MUCOI RO]TTAIS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000255,"DOVATUCI [A]VI TULOTANAGIA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000256,"CORBI KOI MAQI LABRID [...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000257,"BRANOGENI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000258,"LUGADDON MAQI LUGUDEC DDISI MO[...]CQU S(?)EL","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000259,"MAQI-CAIRATINI AVI INEQAGLAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000260,"COVAGNI MAQI MUCOI LUGUNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000262,"LONAMNI AVI BARI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000263,"IARNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000265,"SEDAN[I MAQQI CAT]TABBOTT AVVI DERCMASOC","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000266,"NETA-CARI NETA CAGI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000267,"IAQINI KOI MAQI MUC ....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000268,"..CCI MAQ..INI..","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000269,"ALATTOS MAQI BR...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000270,"VOTI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000271,"MAQI NILI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000273,"ATUCMLU","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000274,"[TH]URGRIM RISTI [KR]US THINA BENDACHT [AR] TOROQR[IM]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000275,"ANM SAINA MAQ OGALA MUCOI TEMOCA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000276,"SAGITTARI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000277,"TRENU MAQI MUCOI QRITTI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000278,"CATTUBUTTAS MAQ[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000279,"]UIVAIBES ]RTAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000280,"QASIGN[i] MAQ[I]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000281,"MAILAGN(I)","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000282,"OLAGNI MAQ[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000283,"DOCRANORI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000284,"COLOMAGNI AVI DUCURI BRUSCO MAQI DOVALESCI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000285,"LODIMONI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000286,"LOGA MAQI SDANBI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000287,"MAQI-DECCEDDAS AVI TURANIAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000288,"CARI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000289,"LUGUQRIT [.........] LONAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000290,"GIRAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000291,"....MA]Q CERAN[I] AVI ATHECETAIMIN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000292,"CUNAGUSOS MAQi MUCOI VIRAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000293,"COIMAGNI MAQI MOCOI GA...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000294,"UBEDABO ALTASI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000295,"DOMNGEN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000296,"CONANN M[AQI] S...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000297,"ANM CASONI [MAQ]I RODAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000298,"ANM TENAS MACi V[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000301,"ELUNA MU[C...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000302,"]OVI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000303,"[M]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000304,"C[A]SSITT[A]S MAQI MUCOI CALLITI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000305,"MAILAGURO MAQ[I...]VILEB[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000306,"LAMADILICCI MAC MAIL BROCC","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000307,"ERACOBI MAQI ERAQETAI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000308,"GRILAGNI MAQI SCILAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000309,"CLIUCOANAS MAQI MAQI-RENI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000310,"DRUTIQULI MAQI MAQI-RODAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000311,"BRANAN MAQI OQOLI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000312,"BOGAI MAQI BIRACO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000313,"MAQ-ACTO MAQ GAR[... MAQI MUCOI Z]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000314,"CRONUN MAC BAIT","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000315,"BLATEGSI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000316,"ACTI MAQI [.....MAGO.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000317,"ERCAIDANA","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000318,"DOMMO MACI VEDUCERI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000319,"NAM MEDDOGENI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000320,"COVALOTI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000321,"...]LL MAQI VORRTIGURN DOIBI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000322,"CORBAGNI K[OI] M[A]Q[I] MOCCOI COROTANI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000323,"SACATTINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000324,"LGG SDLENGESCAD MAQ CORRBRI MAQ AMMLLONGITT","goide","ogham","Ogham in 3D Project","2021"
65000325,"AB ULCCAGNI","goide","ogham","Ogham in 3D Project","2021"
65000326,"MAQI-ESE/A MAQI DOMANE/QI","goide","ogham","Ogham in 3D Project","2021"
65000327,"DILOGONN","goide","ogham","Ogham in 3D Project","2021"
65000328,"COMMAGGAGNI MUCOI/ ISAMMNN","goide","ogham","Ogham in 3D Project","2021"
65000329,"OLISSEGVOG","goide","ogham","Ogham in 3D Project","2021"
65000330,"CUNOVATO","goide","ogham","Ogham in 3D Project","2021"
65000331,"VEQREQ MOQOI GLUNLEGGET","goide","ogham","Ogham in 3D Project","2021"
65000332,"DALAGNI MAQI DALI","goide","ogham","Ogham in 3D Project","2021"
65000333,"VRAICCI/ MAQI MEDVVI","goide","ogham","Ogham in 3D Project","2021"
65000334,"BROINIENAS KOI NETTA-TTRENALUGOS","goide","ogham","Ogham in 3D Project","2021"
65000335,"MAQ REGAS MUCOI","goide","ogham","Ogham in 3D Project","2021"
65000336,"CTAN/QLOG","goide","ogham","Ogham in 3D Project","2021"
65000337,"MAQI MAQI/OGGODIKA","goide","ogham","Ogham in 3D Project","2021"
65000338,"CELI AVI VUD?","goide","ogham","Ogham in 3D Project","2021"
65000339,"QRIMITIR RO/NA/NN MAQ COMOGANN","goide","ogham","Ogham in 3D Project","2021"
65000340,"LUGUQRIT MAQI/ QRITTI","goide","ogham","Ogham in 3D Project","2021"
65000341,"MOINENA MAQI OLACON","goide","ogham","Ogham in 3D Project","2021"
65000342,"RENI","goide","ogham","Ogham in 3D Project","2021"
65000343,"GRAVICAS MAQI MUCOI/ DOVVINIAS","goide","ogham","Ogham in 3D Project","2021"
65000344,"BROINIONAS","goide","ogham","Ogham in 3D Project","2021"
65000345,"G/LUBBIAS MAQQI/ DN/IA?S","goide","ogham","Ogham in 3D Project","2021"
65000346,"CCICAMINI MAQ/Q/I CATTINI","goide","ogham","Ogham in 3D Project","2021"
65000347,"CUNAMAQQI CORBBI MAQQI MUCCOI DOVVINIAS","goide","ogham","Ogham in 3D Project","2021"
65000348,"AKEVRITTI","goide","ogham","Ogham in 3D Project","2021"
